Assay_Type_s,Organism_s,Brain Bank,Sex,Age,development_stage_s,Age Units,Development,Race,Sample Origin,tissue_s,cell_type_s,Cell Line,source_name_s,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,genotype_variation_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSample_s,Experiment_s,Library_Name_s,MBases_l,MBytes_l,Run_s,SRA_Sample_s,Sample_Name_s,AvgSpotLen_l,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,LoadDate_s,Platform_s,ReleaseDate_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of GFP (control),,,,,,,,,,,,,SAMN00829610,SRX130905,GSM899454: PHNP_shGFP_biologicalreps1-5,1855,1082,SRR447172,SRS302267,GSM899454,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of GFP (control),,,,,,,,,,,,,SAMN00829610,SRX130905,GSM899454: PHNP_shGFP_biologicalreps1-5,1924,1141,SRR447173,SRS302267,GSM899454,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of GFP (control),,,,,,,,,,,,,SAMN00829610,SRX130905,GSM899454: PHNP_shGFP_biologicalreps1-5,1840,1088,SRR447174,SRS302267,GSM899454,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of GFP (control),,,,,,,,,,,,,SAMN00829610,SRX130905,GSM899454: PHNP_shGFP_biologicalreps1-5,2042,1235,SRR447175,SRS302267,GSM899454,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of GFP (control),,,,,,,,,,,,,SAMN00829610,SRX130905,GSM899454: PHNP_shGFP_biologicalreps1-5,1604,1002,SRR447176,SRS302267,GSM899454,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of RBFOX1,,,,,,,,,,,,,SAMN00829611,SRX130906,GSM899455: PHNP_shRBFOX1_biologicalreps1-5,1877,1099,SRR447177,SRS302268,GSM899455,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of RBFOX1,,,,,,,,,,,,,SAMN00829611,SRX130906,GSM899455: PHNP_shRBFOX1_biologicalreps1-5,1959,1183,SRR447178,SRS302268,GSM899455,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of RBFOX1,,,,,,,,,,,,,SAMN00829611,SRX130906,GSM899455: PHNP_shRBFOX1_biologicalreps1-5,1997,1202,SRR447179,SRS302268,GSM899455,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of RBFOX1,,,,,,,,,,,,,SAMN00829611,SRX130906,GSM899455: PHNP_shRBFOX1_biologicalreps1-5,1992,1204,SRR447180,SRS302268,GSM899455,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
RNA-Seq,Homo sapiens,,,4,17 week,Months,Infant,,Brain,brain,primary neural progenitors,Primary neural progenitor cells,primary neural progenitors,,,,,,Disease,Lentiviral-mediated knockdown of RBFOX1,,,,,,,,,,,,,SAMN00829611,SRX130906,GSM899455: PHNP_shRBFOX1_biologicalreps1-5,1348,848,SRR447181,SRS302268,GSM899455,75,PRJNA153783,GEO,public,0,Illumina Genome Analyzer II,SINGLE,cDNA,TRANSCRIPTOMIC,2012-08-11,ILLUMINA,2012-06-29,SRP011903
